Country|City|Code|Name
SAUDI ARABIA|DAMMAM|DMM|KING FAHD INTERNATIONAL AIRPORT
UNITED STATES|DEMING|DMN|DEMING MUNICIPAL AIRPORT
BRAZIL|DIAMANTINO|DMT|DIAMANTINO AIRPORT
INDIA|DIMAPUR|DMU|DIMAPUR AIRPORT
JAPAN|KADENA|DNA|KADENA AIR BASE
UNITED KINGDOM|DUNDEE|DND|DUNDEE AIRPORT
CHINA|DUNHUANG|DNH|DUNHUANG AIRPORT
UKRAINE|DNEPROPETROVSK|DNK|DNIPROPETROVSK INTERNATIONAL AIRPORT
UNITED STATES|AUGUSTA|DNL|DANIEL FIELD
UNITED STATES|DALTON|DNN|DALTON MUNICIPAL AIRPORT
NEPAL|DANG|DNP|TULSIPUR AIRPORT
AUSTRALIA|DENILIQUIN|DNQ|DENILIQUIN AIRPORT
FRANCE|DINARD|DNR|DINARD-PLEURTUIT-SAINT-MALO AIRPORT
UNITED STATES|DANVILLE|DNV|VERMILION REGIONAL AIRPORT
TURKEY|DENIZLI|DNZ|CARDAK AIRPORT
TANZANIA|DODOMA|DOD|DODOMA AIRPORT
SUDAN|DONGOLA|DOG|DONGOLA AIRPORT
UKRAINE|DONETSK|DOK|DONETSK INTERNATIONAL AIRPORT
FRANCE|DEAUVILLE|DOL|DEAUVILLE-SAINT-GATIEN AIRPORT
DOMINICA|DOMINICA|DOM|MELVILLE HALL AIRPORT
NEPAL|DOLPA|DOP|DOLPA AIRPORT
BRAZIL|DOURADOS|DOU|DOURADOS AIRPORT
UNITED STATES|DOVER|DOV|DOVER AIR FORCE BASE
UNITED STATES|WEST CHICAGO|DPA|DUPAGE AIRPORT
PHILIPPINES|DIPOLOG|DPL|DIPOLOG AIRPORT
AUSTRALIA|DEVONPORT|DPO|DEVONPORT AIRPORT
INDONESIA|DENPASAR|DPS|NGURAH RAI (BALI) INTERNATIONAL AIRPORT
UNITED STATES|DOUGLAS|DQH|DOUGLAS MUNICIPAL AIRPORT
UNITED STATES|MERCURY|DRA|DESERT ROCK AIRPORT
AUSTRALIA|DERBY|DRB|DERBY AIRPORT
UNITED STATES|DEERING|DRG|DEERING AIRPORT
UNITED STATES|DERIDDER|DRI|BEAUREGARD REGIONAL AIRPORT
SURINAME|DRIETABBETJE|DRJ|DRIETABBETJE AIRPORT
COSTA RICA|PUNTARENAS|DRK|DRAKE BAY AIRPORT
UNITED STATES|DRUMMOND ISLAND|DRM|DRUMMOND ISLAND AIRPORT
AUSTRALIA|Dirranbandi|DRN|DIRRANBANDI AIRPORT
UNITED STATES|DURANGO|DRO|DURANGO LA PLATA COUNTY AIRPORT
GERMANY|DRESDEN|DRS|DRESDEN AIRPORT
UNITED STATES|DEL RIO|DRT|DEL RIO INTERNATIONAL AIRPORT
MALDIVES|DHARAVANDHOO|DRV|DHARAVANDHOO AIRPORT
AUSTRALIA|DARWIN|DRW|DARWIN INTERNATIONAL AIRPORT
UNITED KINGDOM|SHEFFIELD|DSA|ROBIN HOOD DONCASTER SHEFFIELD AIRPORT
GUADELOUPE|GRANDE ANSE|DSD|LA DESIRADE AIRPORT
ETHIOPIA|DESSIE|DSE|COMBOLCHA AIRPORT
PAKISTAN|DERA ISMAEL KHAN|DSK|DERA ISMAEL KHAN AIRPORT
UNITED STATES|DES MOINES|DSM|DES MOINES INTERNATIONAL AIRPORT
CHINA|DONGSHENG|DSN|ORDOS EJIN HORO AIRPORT
NORTH KOREA|HAMHUNG|DSO|SONDOK AIRPORT
UNITED STATES|DELTA|DTA|DELTA MUNICIPAL AIRPORT
INDONESIA|SIBORONG-BORONG|DTB|SILANGIT AIRPORT
INDONESIA|DATADAWAI-BORNEO ISLAND|DTD|DATADAWAI AIRPORT
BRAZIL|DIAMANTINA|DTI|DIAMANTINA AIRPORT
GERMANY|DORTMUND|DTM|DORTMUND AIRPORT
UNITED STATES|DESTIN|DTS|DESTIN EXECUTIVE AIRPORT
UNITED STATES|DETROIT|DTW|DETROIT METROPOLITAN WAYNE COUNTY AIRPORT
CANADA|DUNNVILLE|DU9|DUNNVILLE AIRPORT
IRELAND|DUBLIN|DUB|DUBLIN AIRPORT
UNITED STATES|DUNCAN|DUC|HALLIBURTON FIELD
NEW ZEALAND|DUNEDIN|DUD|DUNEDIN AIRPORT
ANGOLA|DUNDO|DUE|DUNDO AIRPORT
UNITED STATES|DOUGLAS|DUG|BISBEE DOUGLAS INTERNATIONAL AIRPORT
SOUTH AFRICA|OUDTSHOORN|DUH|OUDTSHOORN AIRPORT
UNITED STATES|DU BOIS|DUJ|DUBOIS REGIONAL AIRPORT
INDONESIA|DUMAI|DUM|PINANG KAMPAI AIRPORT
SOUTH AFRICA|DURBAN|DUR|KING SHAKA INTERNATIONAL AIRPORT
GERMANY|DUESSELDORF|DUS|DUSSELDORF INTERNATIONAL AIRPORT
UNITED STATES|UNALASKA|DUT|UNALASKA AIRPORT
UNITED STATES|DEVILS LAKE|DVL|DEVILS LAKE REGIONAL AIRPORT
PHILIPPINES|DAVAO|DVO|FRANCISCO BANGOY INTERNATIONAL AIRPORT
UNITED STATES|PHOENIX|DVT|PHOENIX DEER VALLEY AIRPORT
UNITED STATES|DAVIS-WOODLAND-WINTERS|DWA|YOLO COUNTY DAVIS WOODLAND WINTERS AIRPORT
MADAGASCAR|SOALALA|DWB|SOALALA AIRPORT
UNITED ARAB EMIRATES|DUBAI|DWC|AL MAKTOUM INTERNATIONAL AIRPORT
SAUDI ARABIA|DAWADMI|DWD|DAWADMI DOMESTIC AIRPORT
UNITED STATES|HOUSTON|DWH|DAVID WAYNE HOOKS MEMORIAL AIRPORT
UNITED ARAB EMIRATES|DUBAI|DXB|DUBAI INTERNATIONAL AIRPORT
UNITED STATES|DANBURY|DXR|DANBURY MUNICIPAL AIRPORT
AUSTRALIA|Dysart|DYA|DYSART AIRPORT
CHINA|DAYONG|DYG|DAYONG AIRPORT
UNITED STATES|DOYLESTOWN|DYL|DOYLESTOWN AIRPORT
RUSSIA|ANADYR|DYR|UGOLNY AIRPORT
UNITED STATES|ABILENE|DYS|DYESS AIR FORCE BASE
TAJIKISTAN|DUSHANBE|DYU|DUSHANBE AIRPORT
MAYOTTE|DZAOUDZI|DZA|DZAOUDZI PAMANDZI INTERNATIONAL AIRPORT
KAZAKHSTAN|ZHEZKAZGAN|DZN|ZHEZKAZGAN AIRPORT
UNITED STATES|WICKENBURG|E25|WICKENBURG MUNICIPAL AIRPORT
UNITED STATES|ALPINE|E38|ALPINE CASPARIS MUNICIPAL AIRPORT
UNITED STATES|GILA BEND|E63|GILA BEND MUNICIPAL AIRPORT
UNITED STATES|EAGLE|EAA|EAGLE AIRPORT
VANUATU|SANGAFA|EAE|SIWO AIRPORT
SAUDI ARABIA|NEJRAN|EAM|NEJRAN AIRPORT
SPAIN|SAN SEBASTIAN|EAS|SAN SEBASTIAN AIRPORT
UNITED STATES|WENATCHEE|EAT|PANGBORN MEMORIAL AIRPORT
UNITED STATES|EAU CLAIRE|EAU|CHIPPEWA VALLEY REGIONAL AIRPORT
ITALY|MARINA DI CAMPO|EBA|MARINA DI CAMPO AIRPORT
UGANDA|ENTEBBE|EBB|ENTEBBE INTERNATIONAL AIRPORT
SUDAN|EL OBEID|EBD|EL OBEID AIRPORT
GERMANY|EBENHOFEN|EBE|ENGELS HELIPORT
COLOMBIA|EL BAGRE|EBG|EL BAGRE AIRPORT
DENMARK|ESBJERG|EBJ|ESBJERG AIRPORT
IRAQ|ERBIL|EBL|ERBIL INTERNATIONAL AIRPORT
TUNISIA|EL BORMA|EBM|EL BORMA AIRPORT
FRANCE|ST-ETIENNE|EBU|SAINT-ETIENNE-BOUTHEON AIRPORT
UNITED STATES|EAST TAWAS|ECA|IOSCO COUNTY AIRPORT
AUSTRALIA|Echuca|ECH|ECHUCA AIRPORT
CYPRUS|NICOSIA|ECN|ERCAN INTERNATIONAL AIRPORT
UNITED STATES|PANAMA CITY|ECP|NORTHWEST FLORIDA BEACHES INTERNATIONAL AIRPORT
SPAIN|MADRID|ECV|CUATRO VIENTOS AIRPORT
UNITED STATES|ANCHORAGE|EDF|ELMENDORF AIR FORCE BASE
UNITED KINGDOM|EDINBURGH|EDI|EDINBURGH AIRPORT
KENYA|ELDORET|EDL|ELDORET INTERNATIONAL AIRPORT
FRANCE|LA ROCHE-SUR-YON|EDM|LA ROCHE-SUR-YON AIRPORT
UNITED STATES|ENTERPRISE|EDN|ENTERPRISE MUNICIPAL AIRPORT
TURKEY|BALIKESIR KORFEZ|EDO|BALIKESIR KORFEZ AIRPORT
AUSTRALIA|PORMPURAAW|EDR|PORMPURAAW AIRPORT
UNITED STATES|EDWARDS AFB|EDW|EDWARDS AIR FORCE BASE
UNITED STATES|NEEDLES|EED|NEEDLES AIRPORT
UNITED STATES|EEK|EEK|EEK AIRPORT
UNITED STATES|KEENE|EEN|DILLANT HOPKINS AIRPORT
UNITED STATES|ALABASTER|EET|SHELBY COUNTY AIRPORT
UNITED STATES|HOUSTON|EFD|ELLINGTON AIRPORT
GREECE|KEFFALLINIA|EFL|KEFALLINIA AIRPORT
FRANCE|BERGERAC|EGC|BERGERAC-ROUMANIERE AIRPORT
UNITED STATES|VAIL|EGE|EAGLE COUNTY REGIONAL AIRPORT
UNITED STATES|CRESTVIEW|EGI|DUKE FIELD
SOLOMON ISLANDS|SEGE|EGM|SEGE AIRPORT
SUDAN|GENEINA|EGN|GENEINA AIRPORT
RUSSIA|BELGOROD|EGO|BELGOROD INTERNATIONAL AIRPORT
EGYPT|EL GORAH|EGR|EL GORA AIRPORT
ICELAND|EGILSSTADIR|EGS|EGILSSTAÐIR AIRPORT
UNITED STATES|WELLINGTON|EGT|WELLINGTON MUNICIPAL AIRPORT
UNITED STATES|EAGLE RIVER|EGV|EAGLE RIVER UNION AIRPORT
UNITED STATES|EGEGIK|EGX|EGEGIK AIRPORT
UNITED STATES|ELKHART|EHA|ELKHART MORTON COUNTY AIRPORT
ARGENTINA|EL BOLSON|EHL|EL BOLSON AIRPORT
UNITED STATES|CAPE NEWENHAM|EHM|CAPE NEWENHAM LRRS AIRPORT
RUSSIA|YENISEYSK|EIE|YENISEYSK AIRPORT
UNITED STATES|FAIRBANKS|EIL|EIELSON AIR FORCE BASE
NETHERLANDS|EINDHOVEN|EIN|EINDHOVEN AIRPORT
BRITISH VIRGIN ISLANDS|TORTOLA|EIS|TERRANCE B. LETTSOME INTERNATIONAL AIRPORT
COLOMBIA|BARRANCABERMEJA|EJA|YARIGUIES AIRPORT
SAUDI ARABIA|WEJH|EJH|AL WAJH DOMESTIC AIRPORT
UNITED STATES|EUREKA|EKA|MURRAY FIELD
UNITED STATES|ELKHART|EKI|ELKHART MUNICIPAL AIRPORT
UNITED STATES|ELKINS|EKN|ELKINS-RANDOLPH CO-JENNINGS RANDOLPH FIELD
UNITED STATES|ELKO|EKO|ELKO REGIONAL AIRPORT
UNITED STATES|BESSEMER|EKY|BESSEMER AIRPORT
AUSTRALIA|ELCHO ISLAND|ELC|ELCHO ISLAND AIRPORT
UNITED STATES|EL DORADO|ELD|SOUTH ARKANSAS REGIONAL AT GOODWIN FIELD
SUDAN|EL FASHER|ELF|EL FASHER AIRPORT
ALGERIA|EL GOLEA|ELG|EL GOLEA AIRPORT
BAHAMAS|NORTH ELEUTHERA|ELH|NORTH ELEUTHERA AIRPORT
UNITED STATES|ELIM|ELI|ELIM AIRPORT
UNITED STATES|ELMIRA|ELM|ELMIRA CORNING REGIONAL AIRPORT
UNITED STATES|EL PASO|ELP|EL PASO INTERNATIONAL AIRPORT
SAUDI ARABIA|GASSIM|ELQ|GASSIM AIRPORT
SOUTH AFRICA|EAST LONDON|ELS|BEN SCHOEMAN AIRPORT
EGYPT|EL-TOR|ELT|EL TOR AIRPORT
ALGERIA|GUEMAR|ELU|GUEMAR AIRPORT
UNITED STATES|ELFIN COVE|ELV|ELFIN COVE SEAPLANE BASE
UNITED STATES|ELY|ELY|ELY AIRPORT YELLAND FIELD
UNITED KINGDOM|EAST MIDLANDS|EMA|EAST MIDLANDS AIRPORT
AUSTRALIA|EMERALD|EMD|EMERALD AIRPORT
GERMANY|EMDEN|EME|EMDEN AIRPORT
UNITED STATES|EMMONAK|EMK|EMMONAK AIRPORT
SWITZERLAND|EMMEN|EML|EMMEN AIR BASE
MAURITANIA|NEMA|EMN|NEMA AIRPORT
GERMANY|KEMPTEN|EMP|EMPORIA MUNICIPAL AIRPORT
UNITED STATES|EL MONTE|EMT|EL MONTE AIRPORT
UNITED STATES|EMPORIA|EMV|EMPORIA GREENSVILLE REGIONAL AIRPORT
UNITED STATES|KENAI|ENA|KENAI MUNICIPAL AIRPORT
FRANCE|NANCY|ENC|NANCY-ESSEY AIRPORT
UNITED STATES|ENID|END|VANCE AIR FORCE BASE
INDONESIA|ENDE|ENE|ENDE (H HASAN AROEBOESMAN) AIRPORT
FINLAND|ENONTEKIO|ENF|ENONTEKIO AIRPORT
CHINA|ENSHI|ENH|ENSHI AIRPORT
UNITED KINGDOM|ENNISKILLEN|ENK|ST ANGELO AIRPORT
UNITED STATES|NENANA|ENN|NENANA MUNICIPAL AIRPORT
NETHERLANDS|ENSCHEDE|ENS|TWENTE AIRFIELD
MARSHALL ISLANDS|ENIWETOK ATOLL|ENT|ENIWETOK AIRPORT
NIGERIA|ENUGU|ENU|AKANU IBIAM INTERNATIONAL AIRPORT
UNITED STATES|WENDOVER|ENV|WENDOVER AIRPORT
UNITED STATES|KENOSHA|ENW|KENOSHA REGIONAL AIRPORT
CHINA|YAN'AN|ENY|YAN'AN ERSHILIPU AIRPORT
COLOMBIA|MEDELLIN|EOH|ENRIQUE OLAYA HERRERA AIRPORT
UNITED KINGDOM|EDAY|EOI|EDAY AIRPORT
UNITED STATES|KEOKUK|EOK|KEOKUK MUNICIPAL AIRPORT
FRANCE|EPINAL|EPL|EPINAL-MIRECOURT AIRPORT
UNITED STATES|EASTPORT|EPM|EASTPORT MUNICIPAL AIRPORT
AUSTRALIA|ESPERANCE|EPR|ESPERANCE AIRPORT
DOMINICAN REPUBLIC|SAMANA|EPS|ARROYO BARRIL AIRPORT
ESTONIA|PARNU|EPU|PARNU AIRPORT
ARGENTINA|ESQUEL|EQS|BRIGADIER ANTONIO PARODI AIRPORT
TURKEY|ERZINCAN|ERC|ERZINCAN AIRPORT
UKRAINE|BERDYANSK|ERD|BERDYANSK AIRPORT
GERMANY|ERFURT|ERF|ERFURT AIRPORT
RUSSIA|YERBOGACHEN|ERG|YERBOGACHEN AIRPORT
MOROCCO|ER-RACHIDIA|ERH|MOULAY ALI CHERIF AIRPORT
UNITED STATES|ERIE|ERI|ERIE INTERNATIONAL TOM RIDGE FIELD
CHINA|ERENHOT|ERL|ERENHOT SAIWUSU INTERNATIONAL AIRPORT
BRAZIL|ERECHIM|ERM|ERECHIM AIRPORT
BRAZIL|EIRUNEPE|ERN|EIRUNEPE AIRPORT
NAMIBIA|WINDHOEK|ERS|EROS AIRPORT
UNITED STATES|KERRVILLE|ERV|KERRVILLE MUNICIPAL LOUIS SCHREINER FIELD
UNITED STATES|NEWBERRY|ERY|LUCE COUNTY AIRPORT
TURKEY|ERZURUM|ERZ|ERZURUM INTERNATIONAL AIRPORT
TURKEY|ANKARA|ESB|ESENBOGA INTERNATIONAL AIRPORT
UNITED STATES|ESCANABA|ESC|DELTA COUNTY AIRPORT
UNITED STATES|EASTSOUND|ESD|ORCAS ISLAND AIRPORT
MEXICO|ENSENADA|ESE|ENSENADA AIRPORT
UNITED STATES|ALEXANDRIA|ESF|ESLER REGIONAL AIRPORT
UNITED KINGDOM|SHOREHAM BY SEA|ESH|SHOREHAM AIRPORT
TURKEY|ESKISEHIR|ESK|ESKISEHIR AIR BASE
RUSSIA|ELISTA|ESL|ELISTA AIRPORT
ECUADOR|ESMERALDAS|ESM|GENERAL RIVADENEIRA AIRPORT
UNITED STATES|EASTON|ESN|EASTON NEWNAM FIELD
CHILE|EL SALVADOR|ESR|RICARDO GARCIA POSADA AIRPORT
GERMANY|ESSEN|ESS|ESSEN MULHEIM AIRPORT
MOROCCO|ESSADOUIRA|ESU|MOGADOR AIRPORT
GERMANY|ESSEN|ESX|SKA-EDEBY AIRPORT
ISRAEL|ELAT|ETH|EILAT AIRPORT
ECUADOR|SANTA ROSA|ETR|SANTA ROSA INTERNATIONAL AIRPORT
FRANCE|METZ|ETZ|METZ-NANCY-LORRAINE AIRPORT
TONGA|EUA ISLAND|EUA|KAUFANA AIRPORT
UNITED STATES|EUFALA|EUF|WEEDON FIELD
UNITED STATES|EUGENE|EUG|MAHLON SWEET FIELD
GERMANY|NEUMUENSTER|EUM|NEUMUNSTER AIRPORT
WESTERN SAHARA|EL AAIUN|EUN|HASSAN I AIRPORT
NETHERLANDS ANTILLES|ORANJESTAD|EUX|F. D. ROOSEVELT AIRPORT
NORWAY|HARSTAD NARVIK|EVE|HARSTAD NARVIK AIRPORT
SWEDEN|SVEG|EVG|SVEG AIRPORT
ARMENIA|YEREVAN|EVN|ZVARTNOTS INTERNATIONAL AIRPORT
UNITED STATES|EVANSVILLE|EVV|EVANSVILLE REGIONAL AIRPORT
UNITED STATES|EVANSTON|EVW|EVANSTON-UINTA COUNTY AIRPORT-BURNS FIELD
UNITED STATES|NEW BEDFORD|EWB|NEW BEDFORD REGIONAL AIRPORT
SAUDI ARABIA|WADI-AL-DAWASIR|EWD|WADI AL DAWASIR AIRPORT
UNITED STATES|NEWTON|EWK|NEWTON CITY-COUNTY AIRPORT
UNITED STATES|NEW BERN|EWN|COASTAL CAROLINA REGIONAL AIRPORT
UNITED STATES|NEWARK|EWR|NEWARK LIBERTY INTERNATIONAL AIRPORT
UNITED KINGDOM|EXETER|EXT|EXETER INTERNATIONAL AIRPORT
RUSSIA|BELOYARSKY|EYK|BELOYARSKIY AIRPORT
COLOMBIA|YOPAL|EYP|EL YOPAL AIRPORT
UNITED STATES|KEY WEST|EYW|KEY WEST INTERNATIONAL AIRPORT
ARGENTINA|BUENOS AIRES|EZE|MINISTRO PISTARINI INTERNATIONAL AIRPORT
TURKEY|ELAZIG|EZS|ELAZIG AIRPORT
GUINEA|FARANAH|FAA|FARANAH AIRPORT
UNITED KINGDOM|FARNBOROUGH|FAB|FARNBOROUGH AIRPORT
FAROE ISLANDS|VAGAR|FAE|VAGAR AIRPORT
UNITED STATES|FORT EUSTIS|FAF|FELKER ARMY AIR FIELD
AFGHANISTAN|FARAH|FAH|FARAH AIRPORT
UNITED STATES|FAIRBANKS|FAI|FAIRBANKS INTERNATIONAL AIRPORT
PUERTO RICO|FAJARDO|FAJ|DIEGO JIMENEZ TORRES AIRPORT
NORWAY|FARSUND|FAN|LISTA AIRPORT
PORTUGAL|FARO|FAO|FARO AIRPORT
UNITED STATES|FARGO|FAR|HECTOR INTERNATIONAL AIRPORT
UNITED STATES|FRESNO|FAT|FRESNO YOSEMITE INTERNATIONAL AIRPORT
FRENCH POLYNESIA|FAKARAVA|FAV|FAKARAVA AIRPORT
UNITED STATES|FAYETTEVILLE|FAY|FAYETTEVILLE REGIONAL GRANNIS FIELD
BRAZIL|FONTE BOA|FBA|FONTE BOA AIRPORT
AFGHANISTAN|FAIZABAD|FBD|FAYZABAD AIRPORT
BRAZIL|FRANCISCO BELTRAO|FBE|FRANCISCO BELTRAO AIRPORT
UNITED STATES|FREDERICKSBURG|FBG|SIMMONS ARMY AIR FIELD
UNITED STATES|FORT WAINWRIGHT|FBK|LADD AAF AIRFIELD
CONGO (KINSHASA)|LUBUMASHI|FBM|LUBUMBASHI INTERNATIONAL AIRPORT
UNITED STATES|FORT BRIDGER|FBR|FORT BRIDGER AIRPORT
NORWAY|OSLO|FBU|OSLO
UNITED STATES|KALISPELL|FCA|GLACIER PARK INTERNATIONAL AIRPORT
UNITED STATES|RICHMOND|FCI|CHESTERFIELD COUNTY AIRPORT
UNITED STATES|EDEN PRAIRIE|FCM|FLYING CLOUD AIRPORT
ITALY|ROME|FCO|LEONARDO DA VINCI-FIUMICINO AIRPORT
UNITED STATES|FORT CARSON|FCS|BUTTS AAF (FORT CARSON) AIR FIELD
MARTINIQUE|FORT-DE-FRANCE|FDF|MARTINIQUE AIME CESAIRE INTERNATIONAL AIRPORT
GERMANY|FRIEDRICHSHAFEN|FDH|FRIEDRICHSHAFEN AIRPORT
CONGO (KINSHASA)|BANDOUNDU|FDU|BANDUNDU AIRPORT
UNITED STATES|WINNSBORO|FDW|FAIRFIELD COUNTY AIRPORT
UNITED STATES|FINDLEY|FDY|FINDLAY AIRPORT
UZBEKISTAN|FERGANA|FEG|FERGANA INTERNATIONAL AIRPORT
GERMANY|FUERSTENFELDBRUCK|FEL|FURSTENFELDBRUCK AIRPORT
BRAZIL|FERNANDO DO NORONHA|FEN|FERNANDO DE NORONHA AIRPORT
UNITED STATES|FREMONT|FET|FREMONT MUNICIPAL AIRPORT
MOROCCO|FES|FEZ|SAISS AIRPORT
UNITED STATES|KILL DEVIL HILLS|FFA|FIRST FLIGHT AIRPORT
UNITED STATES|ATLANTA|FFC|PEACHTREE CITY FALCON FIELD
UNITED KINGDOM|FAIRFORD|FFD|RAF FAIRFORD
UNITED STATES|DAYTON|FFO|WRIGHT-PATTERSON AIR FORCE BASE
UNITED STATES|FRANKFORT|FFT|CAPITAL CITY AIRPORT
UNITED STATES|MESA|FFZ|FALCON FIELD
SAMOA|APIA|FGI|FAGALI'I AIRPORT
UNITED STATES|FORT HUACHUCA|FHU|SIERRA VISTA MUNICIPAL LIBBY ARMY AIR FIELD
UNITED KINGDOM|FAIR ISLE|FIE|FAIR ISLE AIRPORT
GUINEA|FIRA|FIG|FRIA AIRPORT
CONGO (KINSHASA)|KINSHASA|FIH|NDJILI INTERNATIONAL AIRPORT
UNITED STATES|FITCHBURG|FIT|FITCHBURG MUNICIPAL AIRPORT
AUSTRALIA|FITZROY CROSSING|FIZ|FITZROY CROSSING AIRPORT
UNITED ARAB EMIRATES|FUJEIRAH|FJR|FUJAIRAH INTERNATIONAL AIRPORT
GERMANY|KARLSRUHE BADEN-BADEN|FKB|KARLSRUHE BADEN-BADEN AIRPORT
CONGO (KINSHASA)|KISANGANI|FKI|BANGOKA INTERNATIONAL AIRPORT
UNITED STATES|FRANKLIN|FKL|VENANGO REGIONAL AIRPORT
INDONESIA|FAK FAK|FKQ|FAKFAK AIRPORT
JAPAN|FUKUSHIMA|FKS|FUKUSHIMA AIRPORT
COLOMBIA|FLORENCIA|FLA|GUSTAVO ARTUNDUAGA PAREDES AIRPORT
BRAZIL|FLORIANO|FLB|CANGAPARA AIRPORT
UNITED STATES|FOND DU LAC|FLD|FOND DU LAC COUNTY AIRPORT
GERMANY|FLENSBURG|FLF|FLENSBURG-SCHAFERHAUS AIRPORT
UNITED STATES|FLAGSTAFF|FLG|FLAGSTAFF PULLIAM AIRPORT
UNITED STATES|FORT LAUDERDALE|FLL|FORT LAUDERDALE HOLLYWOOD INTERNATIONAL AIRPORT
BRAZIL|FLORIANOPOLIS|FLN|HERCILIO LUZ INTERNATIONAL AIRPORT
UNITED STATES|FLORENCE|FLO|FLORENCE REGIONAL AIRPORT
ITALY|FLORENCE|FLR|PERETOLA AIRPORT
AUSTRALIA|FLINDERS ISLAND|FLS|FLINDERS ISLAND AIRPORT
UNITED STATES|FORT LEAVENWORTH|FLV|SHERMAN ARMY AIR FIELD
PORTUGAL|FLORES|FLW|FLORES AIRPORT
ARGENTINA|FORMOSA|FMA|FORMOSA AIRPORT
UNITED STATES|FORT MEADE|FME|TIPTON AIRPORT
CONGO (KINSHASA)|KALEMIE|FMI|KALEMIE AIRPORT
GERMANY|MEMMINGEN|FMM|MEMMINGEN ALLGAU AIRPORT
UNITED STATES|FARMINGTON|FMN|FOUR CORNERS REGIONAL AIRPORT
GERMANY|MUNSTER|FMO|MUNSTER OSNABRUCK AIRPORT
UNITED STATES|FORT MYERS|FMY|PAGE FIELD
SIERRA LEONE|FREETOWN|FNA|LUNGI INTERNATIONAL AIRPORT
GERMANY|NEUBRANDENBURG|FNB|NEUBRANDENBURG AIRPORT
PORTUGAL|FUNCHAL|FNC|MADEIRA AIRPORT
FRANCE|NIMES|FNI|NIMES-ARLES-CAMARGUE AIRPORT
NORTH KOREA|PYONGYANG|FNJ|PYONGYANG SUNAN INTERNATIONAL AIRPORT
UNITED STATES|FORT COLLINS|FNL|FORT COLLINS LOVELAND MUNICIPAL AIRPORT
UNITED STATES|FUNTER BAY|FNR|FUNTER BAY SEAPLANE BASE
UNITED STATES|FLINT|FNT|BISHOP INTERNATIONAL AIRPORT
ITALY|ORISTANO|FNU|ORISTANO-FENOSU AIRPORT
CHINA|FUZHOU|FOC|FUZHOU CHANGLE INTERNATIONAL AIRPORT
UNITED STATES|FORT DODGE|FOD|FORT DODGE REGIONAL AIRPORT
UNITED STATES|TOPEKA|FOE|TOPEKA REGIONAL AIRPORT - FORBES FIELD
ITALY|FOGGIA|FOG|FOGGIA GINO LISA AIRPORT
UNITED STATES|WEST HAMPTON BEACH|FOK|FRANCIS S GABRESKI AIRPORT
CAMEROON|FOUMBAN|FOM|FOUMBAN NKOUNJA AIRPORT
COSTA RICA|LA FORTUNA SAN CARLOS|FON|ARENAL AIRPORT
BRAZIL|FORTALEZA|FOR|PINTO MARTINS INTERNATIONAL AIRPORT
BAHAMAS|FREEPORT|FPO|GRAND BAHAMA INTERNATIONAL AIRPORT
GERMANY|FRANKFURT|FRA|FRANKFURT AM MAIN INTERNATIONAL AIRPORT
AUSTRALIA|FORBES|FRB|FORBES AIRPORT
BRAZIL|FRANCA|FRC|FRANCA AIRPORT
UNITED STATES|FRIDAY HARBOR|FRD|FRIDAY HARBOR AIRPORT
SOLOMON ISLANDS|FERA ISLAND|FRE|FERA MARINGE AIRPORT
UNITED STATES|FORT RILEY|FRI|MARSHALL ARMY AIR FIELD
FRANCE|FREJUS|FRJ|FREJUS AIRPORT
ITALY|FORLI|FRL|FORLI AIRPORT
UNITED STATES|FORT RICHARDSON|FRN|BRYANT ARMY HELIPORT
NORWAY|FLORO|FRO|FLORO AIRPORT
UNITED STATES|FORT PIERCE|FRP|ST LUCIE COUNTY INTERNATIONAL AIRPORT
GUATEMALA|FLORES|FRS|MUNDO MAYA INTERNATIONAL AIRPORT
KYRGYZSTAN|BISHKEK|FRU|MANAS INTERNATIONAL AIRPORT
BOTSWANA|FRANCISTOWN|FRW|FRANCISTOWN AIRPORT
GERMANY|FRITZLAR|FRZ|FRITZLAR AIRPORT
FRANCE|FIGARI|FSC|FIGARI SUD-CORSE AIRPORT
UNITED STATES|SIOUX FALLS|FSD|JOE FOSS FIELD AIRPORT
UNITED STATES|FORT SILL|FSI|HENRY POST ARMY AIR FIELD (FORT SILL)
UNITED STATES|FORT SMITH|FSM|FORT SMITH REGIONAL AIRPORT
SAINT PIERRE AND MIQUELON|ST.-PIERRE|FSP|ST PIERRE AIRPORT
UNITED KINGDOM|KINLOSS|FSS|RAF KINLOSS
UNITED STATES|FORT STOCKTON|FST|FORT STOCKTON PECOS COUNTY AIRPORT
VANUATU|FUTUNA ISLAND|FTA|FUTUNA AIRPORT
ARGENTINA|EL CALAFATE|FTE|EL CALAFATE AIRPORT
UNITED STATES|DENVER|FTG|FRONT RANGE AIRPORT
AMERICAN SAMOA|FITI\\'UTA|FTI|FITIUTA AIRPORT
UNITED STATES|FORT KNOX|FTK|GODMAN ARMY AIR FIELD
MADAGASCAR|TOLAGNARO|FTU|TOLANARO AIRPORT
UNITED STATES|FORT WORTH|FTW|FORT WORTH MEACHAM INTERNATIONAL AIRPORT
CONGO (KINSHASA)|OWANDO|FTX|OWANDO AIRPORT
UNITED STATES|ATLANTA|FTY|FULTON COUNTY AIRPORT BROWN FIELD
